"column_name","data_type","is_nullable","column_default"
"id","integer","NO","nextval('email_signups_id_seq'::regclass)"
"email","character varying","NO",NULL
"audience_type","character varying","NO",NULL
"source","character varying","YES","'coming-soon'::character varying"
"ip_address","character varying","YES",NULL
"user_agent","text","YES",NULL
"is_active","boolean","YES","true"
"notified","boolean","YES","false"
"notes","character varying","YES",NULL
"created_at","timestamp without time zone","YES","now()"
"updated_at","timestamp without time zone","YES","now()"
