"id","image_url","campaign_id","created_at"
306,"/campaigns/28/edited/draft_1230_1649.png",28,"2025-12-30 18:45:21.620676+00"
303,"/backgrounds/enhancement_1766856370_9f2dee53.png",28,"2025-12-30 17:32:32.972235+00"
302,"/backgrounds/enhancement_1766856370_9f2dee53.png",28,"2025-12-30 17:32:03.36992+00"
301,"/campaigns/28/edited/draft_1230_7cc2.png",28,"2025-12-30 10:29:13.701767+00"
299,"/campaigns/28/edited/draft_1229_15e8.png",28,"2025-12-29 11:56:38.474812+00"
278,"/campaigns/28/edited/draft_1227_2486.png",28,"2025-12-27 12:11:45.377974+00"
277,"/campaigns/28/edited/draft_1227_bd0c.png",28,"2025-12-27 00:41:29.83983+00"
276,"/campaigns/28/edited/draft_1227_0a4f.png",28,"2025-12-27 00:41:01.912275+00"
274,"/campaigns/28/edited/draft_1227_c137.png",28,"2025-12-27 00:37:47.34597+00"
271,"/campaigns/28/edited/draft_1226_8aa1.png",28,"2025-12-26 16:00:57.875711+00"
18,"/campaigns/28/generated_images/enhanced_1763651488_692ad427.png",28,"2025-11-20 15:11:15.351204+00"
17,"/campaigns/28/generated_images/enhanced_1763651437_692ad427.png",28,"2025-11-20 15:10:24.373847+00"
15,"/campaigns/28/generated_images/enhanced_1763650354_692ad427.png",28,"2025-11-20 14:52:20.960422+00"
14,"/campaigns/28/generated_images/enhanced_1763649381_692ad427.png",28,"2025-11-20 14:36:09.407436+00"
